year,month,institution_name,population_felons,civil_addict,total_population,designed_capacity,percent_occupied,staffed_capacity,source_pdf_name
1996,02,WSP (WASCO SP),4343,29,4372,2484,176.0,4484,TPOP1Ad9602.pdf
1996,02,SCC (SIERRA CONSERVATION CENTER),5912,0,5912,3606,163.9,5884,TPOP1Ad9602.pdf
1996,02,SRTA (SANTA RITA CO. JAIL-RC),768,0,768,395,194.4,750,TPOP1Ad9602.pdf
1996,02,RJD (RJ DONOVAN CORRECTIONAL FAC),4595,0,4595,2200,208.9,4566,TPOP1Ad9602.pdf
1996,02,PVSP (PLEASANT VALLEY SP),4363,0,4363,2208,197.6,4008,TPOP1Ad9602.pdf
1996,02,PBSP (PELICAN BAY SP),3418,0,3418,2280,149.9,3615,TPOP1Ad9602.pdf
1996,02,NKSP (NORTH KERN SP),4370,3,4373,2492,175.5,4472,TPOP1Ad9602.pdf
1996,02,MCSP (MULE CREEK SP),3690,0,3690,1700,217.1,3562,TPOP1Ad9602.pdf
1996,02,ISP (IRONWOOD SP),3921,0,3921,2200,178.2,4000,TPOP1Ad9602.pdf
1996,02,HDSP (HIGH DESERT SP),2885,1,2886,1712,168.6,2224,TPOP1Ad9602.pdf
1996,02,FOL (FOLSOM SP) (MALE),3779,1,3780,2064,183.1,3710,TPOP1Ad9602.pdf
1996,02,DVI (DEUEL VOCATIONAL INSTITUTION),3351,29,3380,1787,189.1,3396,TPOP1Ad9602.pdf
1996,02,CTF (CORRECTIONAL TRAINING FAC),6456,0,6456,2981,216.6,6341,TPOP1Ad9602.pdf
1996,02,CVSP (CHUCKAWALLA VALLEY SP),3488,0,3488,1738,200.7,3579,TPOP1Ad9602.pdf
1996,02,"SOL (CA SP, SOLANO)",4804,0,4804,2110,227.7,4777,TPOP1Ad9602.pdf
1996,02,SQ (SAN QUENTIN SP),5911,58,5969,3127,190.9,5565,TPOP1Ad9602.pdf
1996,02,"SAC (CA SP, SACRAMENTO)",3214,0,3214,1728,186.0,3204,TPOP1Ad9602.pdf
1996,02,"LAC (CA SP, LOS ANGELES COUNTY)",3919,0,3919,2200,178.1,4000,TPOP1Ad9602.pdf
1996,02,"COR (CA SP, CORCORAN)",4919,1,4920,2916,168.7,4978,TPOP1Ad9602.pdf
1996,02,CEN (CENTINELA SP),4170,0,4170,2208,188.9,4248,TPOP1Ad9602.pdf
1996,02,CAL (CALIPATRIA SP),3778,0,3778,2208,171.1,4008,TPOP1Ad9602.pdf
1996,02,"CRC (CAL REHAB CTR, MEN)",1684,2164,3848,1814,212.1,3906,TPOP1Ad9602.pdf
1996,02,CMC (CA MEN'S COLONY),6348,1,6349,3884,163.5,6474,TPOP1Ad9602.pdf
1996,02,CMF (CA MEDICAL FAC),3004,0,3004,2335,128.7,3339,TPOP1Ad9602.pdf
1996,02,CIM (CA INSTITUTION FOR MEN),5908,52,5960,2778,214.5,5971,TPOP1Ad9602.pdf
1996,02,CCI (CA CORRECTIONAL INSTITUTION),5680,2,5682,2757,206.1,5767,TPOP1Ad9602.pdf
1996,02,CCC (CA CORRECTIONAL CENTER),5839,1,5840,3682,158.6,5637,TPOP1Ad9602.pdf
1996,02,ASP (AVENAL SP),5778,0,5778,2320,249.1,5793,TPOP1Ad9602.pdf
1996,03,VSP (VALLEY SP),2326,7,2333,2380,98.0,2584,TPOP1Ad9603.pdf
1996,03,SCC (SIERRA CONSERVATION CENTER),327,0,327,320,102.2,320,TPOP1Ad9603.pdf
1996,03,NCWF (NO CAL WOMEN'S FACIL),770,1,771,400,192.8,760,TPOP1Ad9603.pdf
1996,03,CCWF (CENTRAL CA WOMEN'S FAC),3036,7,3043,2004,151.8,2999,TPOP1Ad9603.pdf
1996,03,"CRC (CAL REHAB CTR, WOMEN)",85,676,761,500,152.2,842,TPOP1Ad9603.pdf
1996,03,CIW (CA INSTITUTION FOR WOMEN),1735,41,1776,1026,173.1,1646,TPOP1Ad9603.pdf
1996,03,WSP (WASCO SP),4429,38,4467,2484,179.8,4484,TPOP1Ad9603.pdf
1996,03,SCC (SIERRA CONSERVATION CENTER),5912,0,5912,3606,163.9,5884,TPOP1Ad9603.pdf
1996,03,SRTA (SANTA RITA CO. JAIL-RC),685,0,685,395,173.4,750,TPOP1Ad9603.pdf
1996,03,RJD (RJ DONOVAN CORRECTIONAL FAC),4575,1,4576,2200,208.0,4566,TPOP1Ad9603.pdf
1996,03,PVSP (PLEASANT VALLEY SP),4315,0,4315,2208,195.4,4008,TPOP1Ad9603.pdf
1996,03,PBSP (PELICAN BAY SP),3492,0,3492,2280,153.2,3615,TPOP1Ad9603.pdf
1996,03,NKSP (NORTH KERN SP),4457,1,4458,2492,178.9,4472,TPOP1Ad9603.pdf
1996,03,MCSP (MULE CREEK SP),3634,0,3634,1700,213.8,3562,TPOP1Ad9603.pdf
1996,03,ISP (IRONWOOD SP),4058,0,4058,2200,184.5,4000,TPOP1Ad9603.pdf
1996,03,HDSP (HIGH DESERT SP),3101,1,3102,1712,181.2,2224,TPOP1Ad9603.pdf
1996,03,FOL (FOLSOM SP) (MALE),3837,1,3838,2064,185.9,3710,TPOP1Ad9603.pdf
1996,03,DVI (DEUEL VOCATIONAL INSTITUTION),3306,18,3324,1787,186.0,3396,TPOP1Ad9603.pdf
1996,03,CTF (CORRECTIONAL TRAINING FAC),6483,0,6483,2981,217.5,6341,TPOP1Ad9603.pdf
1996,03,CVSP (CHUCKAWALLA VALLEY SP),3522,0,3522,1738,202.6,3579,TPOP1Ad9603.pdf
1996,03,"SOL (CA SP, SOLANO)",4799,0,4799,2110,227.4,4777,TPOP1Ad9603.pdf
1996,03,SQ (SAN QUENTIN SP),5845,37,5882,3127,188.1,5565,TPOP1Ad9603.pdf
1996,03,"SAC (CA SP, SACRAMENTO)",3136,0,3136,1728,181.5,3204,TPOP1Ad9603.pdf
1996,03,"LAC (CA SP, LOS ANGELES COUNTY)",3975,0,3975,2200,180.7,4000,TPOP1Ad9603.pdf
1996,03,"COR (CA SP, CORCORAN)",4918,0,4918,2916,168.7,4978,TPOP1Ad9603.pdf
1996,03,CEN (CENTINELA SP),4317,0,4317,2208,195.5,4248,TPOP1Ad9603.pdf
1996,03,CAL (CALIPATRIA SP),3870,0,3870,2208,175.3,4008,TPOP1Ad9603.pdf
1996,03,"CRC (CAL REHAB CTR, MEN)",1809,2193,4002,1814,220.6,3906,TPOP1Ad9603.pdf
1996,03,CMC (CA MEN'S COLONY),6463,0,6463,3884,166.4,6474,TPOP1Ad9603.pdf
1996,03,CMF (CA MEDICAL FAC),3092,0,3092,2335,132.4,3339,TPOP1Ad9603.pdf
1996,03,CIM (CA INSTITUTION FOR MEN),5757,40,5797,2778,208.7,5971,TPOP1Ad9603.pdf
1996,03,CCI (CA CORRECTIONAL INSTITUTION),5729,2,5731,2757,207.9,5767,TPOP1Ad9603.pdf
1996,03,CCC (CA CORRECTIONAL CENTER),5871,1,5872,3682,159.5,5637,TPOP1Ad9603.pdf
1996,03,ASP (AVENAL SP),5727,0,5727,2320,246.9,5793,TPOP1Ad9603.pdf
1996,04,VSP (VALLEY SP),2498,13,2511,2380,105.5,2584,TPOP1Ad9604.pdf
1996,04,SCC (SIERRA CONSERVATION CENTER),312,0,312,320,97.5,320,TPOP1Ad9604.pdf
1996,04,NCWF (NO CAL WOMEN'S FACIL),742,2,744,400,186.0,760,TPOP1Ad9604.pdf
1996,04,CCWF (CENTRAL CA WOMEN'S FAC),3184,8,3192,2004,159.3,2999,TPOP1Ad9604.pdf
1996,04,"CRC (CAL REHAB CTR, WOMEN)",87,682,769,500,153.8,842,TPOP1Ad9604.pdf
1996,04,CIW (CA INSTITUTION FOR WOMEN),1618,36,1654,1026,161.2,1646,TPOP1Ad9604.pdf
1996,04,WSP (WASCO SP),4424,40,4464,2484,179.7,4484,TPOP1Ad9604.pdf
1996,04,SCC (SIERRA CONSERVATION CENTER),5979,0,5979,3606,165.8,5884,TPOP1Ad9604.pdf
1996,04,SRTA (SANTA RITA CO. JAIL-RC),776,1,777,395,196.7,750,TPOP1Ad9604.pdf
1996,04,RJD (RJ DONOVAN CORRECTIONAL FAC),4630,0,4630,2200,210.5,4566,TPOP1Ad9604.pdf
1996,04,PVSP (PLEASANT VALLEY SP),4592,0,4592,2208,208.0,4008,TPOP1Ad9604.pdf
1996,04,PBSP (PELICAN BAY SP),3551,0,3551,2280,155.7,3615,TPOP1Ad9604.pdf
1996,04,NKSP (NORTH KERN SP),4350,2,4352,2492,174.6,4472,TPOP1Ad9604.pdf
1996,04,MCSP (MULE CREEK SP),3457,0,3457,1700,203.4,3562,TPOP1Ad9604.pdf
1996,04,ISP (IRONWOOD SP),4390,0,4390,2200,199.5,4000,TPOP1Ad9604.pdf
1996,04,HDSP (HIGH DESERT SP),3557,2,3559,1812,196.4,2414,TPOP1Ad9604.pdf
1996,04,FOL (FOLSOM SP) (MALE),3748,1,3749,2064,181.6,3710,TPOP1Ad9604.pdf
1996,04,DVI (DEUEL VOCATIONAL INSTITUTION),3432,27,3459,1787,193.6,3396,TPOP1Ad9604.pdf
1996,04,CTF (CORRECTIONAL TRAINING FAC),6593,0,6593,2981,221.2,6341,TPOP1Ad9604.pdf
1996,04,CVSP (CHUCKAWALLA VALLEY SP),3505,0,3505,1738,201.7,3579,TPOP1Ad9604.pdf
1996,04,"SOL (CA SP, SOLANO)",4747,0,4747,2110,225.0,4777,TPOP1Ad9604.pdf
1996,04,SQ (SAN QUENTIN SP),5579,33,5612,3127,179.5,5565,TPOP1Ad9604.pdf
1996,04,"SAC (CA SP, SACRAMENTO)",3145,0,3145,1728,182.0,3204,TPOP1Ad9604.pdf
1996,04,"LAC (CA SP, LOS ANGELES COUNTY)",4064,0,4064,2200,184.7,4000,TPOP1Ad9604.pdf
1996,04,"COR (CA SP, CORCORAN)",4991,0,4991,2916,171.2,4978,TPOP1Ad9604.pdf
1996,04,CEN (CENTINELA SP),4195,0,4195,2208,190.0,4248,TPOP1Ad9604.pdf
1996,04,CAL (CALIPATRIA SP),3860,0,3860,2208,174.8,4008,TPOP1Ad9604.pdf
1996,04,"CRC (CAL REHAB CTR, MEN)",1834,2118,3952,1814,217.9,3906,TPOP1Ad9604.pdf
1996,04,CMC (CA MEN'S COLONY),6437,0,6437,3884,165.7,6474,TPOP1Ad9604.pdf
1996,04,CMF (CA MEDICAL FAC),3114,0,3114,2335,133.4,3339,TPOP1Ad9604.pdf
1996,04,CIM (CA INSTITUTION FOR MEN),5664,69,5733,2778,206.4,5971,TPOP1Ad9604.pdf
1996,04,CCI (CA CORRECTIONAL INSTITUTION),5869,1,5870,2757,212.9,5767,TPOP1Ad9604.pdf
1996,04,CCC (CA CORRECTIONAL CENTER),5902,1,5903,3682,160.3,5637,TPOP1Ad9604.pdf
1996,04,ASP (AVENAL SP),5758,0,5758,2320,248.2,5793,TPOP1Ad9604.pdf
1996,05,VSP (VALLEY SP),2562,9,2571,2380,108.0,2584,TPOP1Ad9605.pdf
1996,05,SCC (SIERRA CONSERVATION CENTER),320,0,320,320,100.0,320,TPOP1Ad9605.pdf
1996,05,NCWF (NO CAL WOMEN'S FACIL),705,0,705,400,176.3,760,TPOP1Ad9605.pdf
1996,05,CCWF (CENTRAL CA WOMEN'S FAC),3176,5,3181,2004,158.7,2999,TPOP1Ad9605.pdf
1996,05,"CRC (CAL REHAB CTR, WOMEN)",124,698,822,500,164.4,842,TPOP1Ad9605.pdf
1996,05,CIW (CA INSTITUTION FOR WOMEN),1689,26,1715,1026,167.2,1646,TPOP1Ad9605.pdf
1996,05,WSP (WASCO SP),4523,21,4544,2484,182.9,4484,TPOP1Ad9605.pdf
1996,05,SCC (SIERRA CONSERVATION CENTER),5884,0,5884,3606,163.2,5884,TPOP1Ad9605.pdf
1996,05,SRTA (SANTA RITA CO. JAIL-RC),880,0,880,395,222.8,750,TPOP1Ad9605.pdf
1996,05,SVSP (SALINAS VALLEY SP),736,0,736,700,105.1,700,TPOP1Ad9605.pdf
1996,05,RJD (RJ DONOVAN CORRECTIONAL FAC),4581,0,4581,2200,208.2,4566,TPOP1Ad9605.pdf
1996,05,PVSP (PLEASANT VALLEY SP),4546,0,4546,2208,205.9,4008,TPOP1Ad9605.pdf
1996,05,PBSP (PELICAN BAY SP),3548,0,3548,2280,155.6,3615,TPOP1Ad9605.pdf
1996,05,NKSP (NORTH KERN SP),4474,1,4475,2492,179.6,4472,TPOP1Ad9605.pdf
1996,05,MCSP (MULE CREEK SP),3504,0,3504,1700,206.1,3562,TPOP1Ad9605.pdf
1996,05,ISP (IRONWOOD SP),4217,0,4217,2200,191.7,4000,TPOP1Ad9605.pdf
1996,05,HDSP (HIGH DESERT SP),4011,1,4012,1812,221.4,2414,TPOP1Ad9605.pdf
1996,05,FOL (FOLSOM SP) (MALE),3775,1,3776,2064,182.9,3710,TPOP1Ad9605.pdf
1996,05,DVI (DEUEL VOCATIONAL INSTITUTION),3585,29,3614,1787,202.2,3396,TPOP1Ad9605.pdf
1996,05,CTF (CORRECTIONAL TRAINING FAC),6662,2,6664,2981,223.5,6341,TPOP1Ad9605.pdf
1996,05,CVSP (CHUCKAWALLA VALLEY SP),3506,0,3506,1738,201.7,3579,TPOP1Ad9605.pdf
1996,05,"SOL (CA SP, SOLANO)",4770,0,4770,2110,226.1,4777,TPOP1Ad9605.pdf
1996,05,SQ (SAN QUENTIN SP),5491,33,5524,3127,176.7,5565,TPOP1Ad9605.pdf
1996,05,"SAC (CA SP, SACRAMENTO)",3128,0,3128,1728,181.0,3204,TPOP1Ad9605.pdf
1996,05,"LAC (CA SP, LOS ANGELES COUNTY)",4012,0,4012,2200,182.4,4000,TPOP1Ad9605.pdf
1996,05,"COR (CA SP, CORCORAN)",4847,0,4847,2916,166.2,4978,TPOP1Ad9605.pdf
1996,05,CEN (CENTINELA SP),4372,0,4372,2208,198.0,4248,TPOP1Ad9605.pdf
1996,05,CAL (CALIPATRIA SP),3885,0,3885,2208,176.0,4008,TPOP1Ad9605.pdf
1996,05,"CRC (CAL REHAB CTR, MEN)",1740,2032,3772,1814,207.9,3906,TPOP1Ad9605.pdf
1996,05,CMC (CA MEN'S COLONY),6385,0,6385,3884,164.4,6474,TPOP1Ad9605.pdf
1996,05,CMF (CA MEDICAL FAC),3148,0,3148,2335,134.8,3339,TPOP1Ad9605.pdf
1996,05,CIM (CA INSTITUTION FOR MEN),6063,78,6141,2778,221.1,5971,TPOP1Ad9605.pdf
1996,05,CCI (CA CORRECTIONAL INSTITUTION),5837,0,5837,2757,211.7,5767,TPOP1Ad9605.pdf
1996,05,CCC (CA CORRECTIONAL CENTER),5785,1,5786,3682,157.1,5637,TPOP1Ad9605.pdf
1996,05,ASP (AVENAL SP),5734,0,5734,2320,247.2,5793,TPOP1Ad9605.pdf
1996,06,VSP (VALLEY SP),2549,12,2561,1980,129.3,2592,TPOP1Ad9606.pdf
1996,06,SCC (SIERRA CONSERVATION CENTER),331,0,331,320,103.4,320,TPOP1Ad9606.pdf
1996,06,NCWF (NO CAL WOMEN'S FACIL),752,5,757,400,189.3,760,TPOP1Ad9606.pdf
1996,06,CCWF (CENTRAL CA WOMEN'S FAC),3100,6,3106,2004,155.0,2914,TPOP1Ad9606.pdf
1996,06,"CRC (CAL REHAB CTR, WOMEN)",195,687,882,500,176.4,842,TPOP1Ad9606.pdf
1996,06,CIW (CA INSTITUTION FOR WOMEN),1634,26,1660,1026,161.8,1646,TPOP1Ad9606.pdf
1996,06,WSP (WASCO SP),4479,44,4523,2484,182.1,4484,TPOP1Ad9606.pdf
1996,06,SCC (SIERRA CONSERVATION CENTER),5993,0,5993,3606,166.2,5884,TPOP1Ad9606.pdf
1996,06,SVSP (SALINAS VALLEY SP),1260,0,1260,700,180.0,700,TPOP1Ad9606.pdf
1996,06,RJD (RJ DONOVAN CORRECTIONAL FAC),4574,0,4574,2200,207.9,4566,TPOP1Ad9606.pdf
1996,06,PVSP (PLEASANT VALLEY SP),4414,0,4414,2208,199.9,4488,TPOP1Ad9606.pdf
1996,06,PBSP (PELICAN BAY SP),3514,0,3514,2280,154.1,3711,TPOP1Ad9606.pdf
1996,06,NKSP (NORTH KERN SP),4516,1,4517,2492,181.3,4472,TPOP1Ad9606.pdf
1996,06,MCSP (MULE CREEK SP),3631,0,3631,1700,213.6,3562,TPOP1Ad9606.pdf
1996,06,ISP (IRONWOOD SP),4240,0,4240,2200,192.7,4360,TPOP1Ad9606.pdf
1996,06,HDSP (HIGH DESERT SP),4103,1,4104,2224,184.5,4046,TPOP1Ad9606.pdf
1996,06,FOL (FOLSOM SP) (MALE),3834,1,3835,2064,185.8,3710,TPOP1Ad9606.pdf
1996,06,DVI (DEUEL VOCATIONAL INSTITUTION),3344,38,3382,1787,189.3,3706,TPOP1Ad9606.pdf
1996,06,CTF (CORRECTIONAL TRAINING FAC),6482,1,6483,2981,217.5,6461,TPOP1Ad9606.pdf
1996,06,CVSP (CHUCKAWALLA VALLEY SP),3519,0,3519,1738,202.5,3579,TPOP1Ad9606.pdf
1996,06,"SOL (CA SP, SOLANO)",4646,0,4646,2110,220.2,4777,TPOP1Ad9606.pdf
1996,06,SQ (SAN QUENTIN SP),5490,39,5529,3283,168.4,5721,TPOP1Ad9606.pdf
1996,06,"SAC (CA SP, SACRAMENTO)",3131,0,3131,1728,181.2,3204,TPOP1Ad9606.pdf
1996,06,"LAC (CA SP, LOS ANGELES COUNTY)",4162,0,4162,2200,189.2,4120,TPOP1Ad9606.pdf
1996,06,"COR (CA SP, CORCORAN)",4642,0,4642,2916,159.2,5084,TPOP1Ad9606.pdf
1996,06,CEN (CENTINELA SP),4387,0,4387,2208,198.7,4368,TPOP1Ad9606.pdf
1996,06,CAL (CALIPATRIA SP),3835,0,3835,2208,173.7,4108,TPOP1Ad9606.pdf
1996,06,"CRC (CAL REHAB CTR, MEN)",2062,1899,3961,1814,218.4,3906,TPOP1Ad9606.pdf
1996,06,CMC (CA MEN'S COLONY),6301,0,6301,3884,162.2,6474,TPOP1Ad9606.pdf
1996,06,CMF (CA MEDICAL FAC),3175,0,3175,2315,137.1,3377,TPOP1Ad9606.pdf
1996,06,CIM (CA INSTITUTION FOR MEN),5831,44,5875,2778,211.5,5971,TPOP1Ad9606.pdf
1996,06,CCI (CA CORRECTIONAL INSTITUTION),5918,0,5918,2781,212.8,5942,TPOP1Ad9606.pdf
1996,06,CCC (CA CORRECTIONAL CENTER),5919,1,5920,3682,160.8,5637,TPOP1Ad9606.pdf
1996,06,ASP (AVENAL SP),5736,0,5736,2320,247.2,5793,TPOP1Ad9606.pdf
1996,07,VSP (VALLEY SP),2789,31,2820,1980,142.4,2592,TPOP1Ad9607.pdf
1996,07,SCC (SIERRA CONSERVATION CENTER),329,0,329,320,102.8,320,TPOP1Ad9607.pdf
1996,07,NCWF (NO CAL WOMEN'S FACIL),775,5,780,400,195.0,760,TPOP1Ad9607.pdf
1996,07,CCWF (CENTRAL CA WOMEN'S FAC),2897,13,2910,2004,145.2,2914,TPOP1Ad9607.pdf
1996,07,"CRC (CAL REHAB CTR, WOMEN)",211,651,862,500,172.4,842,TPOP1Ad9607.pdf
1996,07,CIW (CA INSTITUTION FOR WOMEN),1709,23,1732,1026,168.8,1646,TPOP1Ad9607.pdf
1996,07,WSP (WASCO SP),4470,28,4498,2484,181.1,4484,TPOP1Ad9607.pdf
1996,07,SCC (SIERRA CONSERVATION CENTER),5907,0,5907,3606,163.8,5884,TPOP1Ad9607.pdf
1996,07,SVSP (SALINAS VALLEY SP),1780,0,1780,700,254.3,700,TPOP1Ad9607.pdf
1996,07,RJD (RJ DONOVAN CORRECTIONAL FAC),4526,0,4526,2200,205.7,4566,TPOP1Ad9607.pdf
1996,07,PVSP (PLEASANT VALLEY SP),4515,0,4515,2208,204.5,4488,TPOP1Ad9607.pdf
1996,07,PBSP (PELICAN BAY SP),3463,0,3463,2280,151.9,3711,TPOP1Ad9607.pdf
1996,07,NKSP (NORTH KERN SP),4529,1,4530,2492,181.8,4472,TPOP1Ad9607.pdf
1996,07,MCSP (MULE CREEK SP),3618,0,3618,1700,212.8,3562,TPOP1Ad9607.pdf
1996,07,ISP (IRONWOOD SP),4315,0,4315,2200,196.1,4360,TPOP1Ad9607.pdf
1996,07,HDSP (HIGH DESERT SP),4041,2,4043,2224,181.8,4046,TPOP1Ad9607.pdf
1996,07,FOL (FOLSOM SP) (MALE),3842,1,3843,2064,186.2,3710,TPOP1Ad9607.pdf
1996,07,DVI (DEUEL VOCATIONAL INSTITUTION),3499,30,3529,1787,197.5,3706,TPOP1Ad9607.pdf
1996,07,CTF (CORRECTIONAL TRAINING FAC),6302,2,6304,2981,211.5,6461,TPOP1Ad9607.pdf
1996,07,CVSP (CHUCKAWALLA VALLEY SP),3472,0,3472,1738,199.8,3579,TPOP1Ad9607.pdf
1996,07,"SOL (CA SP, SOLANO)",4757,0,4757,2110,225.5,4777,TPOP1Ad9607.pdf
1996,07,SQ (SAN QUENTIN SP),5703,28,5731,3283,174.6,5721,TPOP1Ad9607.pdf
1996,07,"SAC (CA SP, SACRAMENTO)",3225,2,3227,1728,186.7,3204,TPOP1Ad9607.pdf
1996,07,"LAC (CA SP, LOS ANGELES COUNTY)",4134,0,4134,2200,187.9,4120,TPOP1Ad9607.pdf
1996,07,"COR (CA SP, CORCORAN)",4672,0,4672,2916,160.2,5084,TPOP1Ad9607.pdf
1996,07,CEN (CENTINELA SP),4497,0,4497,2208,203.7,4368,TPOP1Ad9607.pdf
1996,07,CAL (CALIPATRIA SP),3773,0,3773,2208,170.9,4108,TPOP1Ad9607.pdf
1996,07,"CRC (CAL REHAB CTR, MEN)",2171,1797,3968,1814,218.7,3906,TPOP1Ad9607.pdf
1996,07,CMC (CA MEN'S COLONY),6254,0,6254,3884,161.0,6474,TPOP1Ad9607.pdf
1996,07,CMF (CA MEDICAL FAC),3158,0,3158,2315,136.4,3377,TPOP1Ad9607.pdf
1996,07,CIM (CA INSTITUTION FOR MEN),5875,47,5922,2778,213.2,5971,TPOP1Ad9607.pdf
1996,07,CCI (CA CORRECTIONAL INSTITUTION),5959,0,5959,2781,214.3,5942,TPOP1Ad9607.pdf
1996,07,CCC (CA CORRECTIONAL CENTER),5952,1,5953,3682,161.7,5637,TPOP1Ad9607.pdf
1996,07,ASP (AVENAL SP),5733,0,5733,2320,247.1,5793,TPOP1Ad9607.pdf
1996,08,VSP (VALLEY SP),2750,8,2758,1980,139.3,2592,TPOP1Ad9608.pdf
1996,08,SCC (SIERRA CONSERVATION CENTER),334,0,334,320,104.4,320,TPOP1Ad9608.pdf
1996,08,NCWF (NO CAL WOMEN'S FACIL),747,9,756,400,189.0,760,TPOP1Ad9608.pdf
1996,08,CCWF (CENTRAL CA WOMEN'S FAC),3113,5,3118,2004,155.6,2914,TPOP1Ad9608.pdf
1996,08,"CRC (CAL REHAB CTR, WOMEN)",224,670,894,500,178.8,842,TPOP1Ad9608.pdf
1996,08,CIW (CA INSTITUTION FOR WOMEN),1636,23,1659,1026,161.7,1646,TPOP1Ad9608.pdf
1996,08,WSP (WASCO SP),4857,50,4907,2484,197.5,4484,TPOP1Ad9608.pdf
