,year,month,institution_name,population_felons,civil_addict,total_population,designed_capacity,percent_occupied,staffed_capacity
85,1996,3,DVI (DEUEL VOCATIONAL INSTITUTION),3306,18,3324,1787,186.0,3396
86,1996,3,CTF (CORRECTIONAL TRAINING FAC),6483,0,6483,2981,217.5,6341
87,1996,3,CVSP (CHUCKAWALLA VALLEY SP),3522,0,3522,1738,202.6,3579
88,1996,3,"SOL (CA SP, SOLANO)",4799,0,4799,2110,227.4,4777
89,1996,3,SQ (SAN QUENTIN SP),5845,37,5882,3127,188.1,5565
90,1996,3,"SAC (CA SP, SACRAMENTO)",3136,0,3136,1728,181.5,3204
91,1996,3,"LAC (CA SP, LOS ANGELES COUNTY)",3975,0,3975,2200,180.7,4000
92,1996,3,"COR (CA SP, CORCORAN)",4918,0,4918,2916,168.7,4978
93,1996,3,CEN (CENTINELA SP),4317,0,4317,2208,195.5,4248
94,1996,3,CAL (CALIPATRIA SP),3870,0,3870,2208,175.3,4008
95,1996,3,"CRC (CAL REHAB CTR, MEN)",1809,2193,4002,1814,220.6,3906
96,1996,3,CMC (CA MEN'S COLONY),6463,0,6463,3884,166.4,6474
97,1996,3,CMF (CA MEDICAL FAC),3092,0,3092,2335,132.4,3339
98,1996,3,CIM (CA INSTITUTION FOR MEN),5757,40,5797,2778,208.7,5971
99,1996,3,CCI (CA CORRECTIONAL INSTITUTION),5729,2,5731,2757,207.9,5767
100,1996,3,CCC (CA CORRECTIONAL CENTER),5871,1,5872,3682,159.5,5637
101,1996,3,ASP (AVENAL SP),5727,0,5727,2320,246.9,5793
102,1996,4,VSP (VALLEY SP),2498,13,2511,2380,105.5,2584
103,1996,4,SCC (SIERRA CONSERVATION CENTER),312,0,312,320,97.5,320
104,1996,4,NCWF (NO CAL WOMEN'S FACIL),742,2,744,400,186.0,760
105,1996,4,CCWF (CENTRAL CA WOMEN'S FAC),3184,8,3192,2004,159.3,2999
106,1996,4,"CRC (CAL REHAB CTR, WOMEN)",87,682,769,500,153.8,842
107,1996,4,CIW (CA INSTITUTION FOR WOMEN),1618,36,1654,1026,161.2,1646
108,1996,4,WSP (WASCO SP),4424,40,4464,2484,179.7,4484
109,1996,4,SCC (SIERRA CONSERVATION CENTER),5979,0,5979,3606,165.8,5884
110,1996,4,SRTA (SANTA RITA CO. JAIL-RC),776,1,777,395,196.7,750
111,1996,4,RJD (RJ DONOVAN CORRECTIONAL FAC),4630,0,4630,2200,210.5,4566
112,1996,4,PVSP (PLEASANT VALLEY SP),4592,0,4592,2208,208.0,4008
113,1996,4,PBSP (PELICAN BAY SP),3551,0,3551,2280,155.7,3615
114,1996,4,NKSP (NORTH KERN SP),4350,2,4352,2492,174.6,4472
115,1996,4,MCSP (MULE CREEK SP),3457,0,3457,1700,203.4,3562
116,1996,4,ISP (IRONWOOD SP),4390,0,4390,2200,199.5,4000
117,1996,4,HDSP (HIGH DESERT SP),3557,2,3559,1812,196.4,2414
118,1996,4,FOL (FOLSOM SP) (MALE),3748,1,3749,2064,181.6,3710
119,1996,4,DVI (DEUEL VOCATIONAL INSTITUTION),3432,27,3459,1787,193.6,3396
120,1996,4,CTF (CORRECTIONAL TRAINING FAC),6593,0,6593,2981,221.2,6341
121,1996,4,CVSP (CHUCKAWALLA VALLEY SP),3505,0,3505,1738,201.7,3579
122,1996,4,"SOL (CA SP, SOLANO)",4747,0,4747,2110,225.0,4777
123,1996,4,SQ (SAN QUENTIN SP),5579,33,5612,3127,179.5,5565
124,1996,4,"SAC (CA SP, SACRAMENTO)",3145,0,3145,1728,182.0,3204
125,1996,4,"LAC (CA SP, LOS ANGELES COUNTY)",4064,0,4064,2200,184.7,4000
126,1996,4,"COR (CA SP, CORCORAN)",4991,0,4991,2916,171.2,4978
127,1996,4,CEN (CENTINELA SP),4195,0,4195,2208,190.0,4248
128,1996,4,CAL (CALIPATRIA SP),3860,0,3860,2208,174.8,4008
129,1996,4,"CRC (CAL REHAB CTR, MEN)",1834,2118,3952,1814,217.9,3906
130,1996,4,CMC (CA MEN'S COLONY),6437,0,6437,3884,165.7,6474
131,1996,4,CMF (CA MEDICAL FAC),3114,0,3114,2335,133.4,3339
132,1996,4,CIM (CA INSTITUTION FOR MEN),5664,69,5733,2778,206.4,5971
133,1996,4,CCI (CA CORRECTIONAL INSTITUTION),5869,1,5870,2757,212.9,5767
134,1996,4,CCC (CA CORRECTIONAL CENTER),5902,1,5903,3682,160.3,5637
135,1996,4,ASP (AVENAL SP),5758,0,5758,2320,248.2,5793
136,1996,5,VSP (VALLEY SP),2562,9,2571,2380,108.0,2584
137,1996,5,SCC (SIERRA CONSERVATION CENTER),320,0,320,320,100.0,320
138,1996,5,NCWF (NO CAL WOMEN'S FACIL),705,0,705,400,176.3,760
139,1996,5,CCWF (CENTRAL CA WOMEN'S FAC),3176,5,3181,2004,158.7,2999
140,1996,5,"CRC (CAL REHAB CTR, WOMEN)",124,698,822,500,164.4,842
141,1996,5,CIW (CA INSTITUTION FOR WOMEN),1689,26,1715,1026,167.2,1646
142,1996,5,WSP (WASCO SP),4523,21,4544,2484,182.9,4484
143,1996,5,SCC (SIERRA CONSERVATION CENTER),5884,0,5884,3606,163.2,5884
144,1996,5,SRTA (SANTA RITA CO. JAIL-RC),880,0,880,395,222.8,750
145,1996,5,SVSP (SALINAS VALLEY SP),736,0,736,700,105.1,700
146,1996,5,RJD (RJ DONOVAN CORRECTIONAL FAC),4581,0,4581,2200,208.2,4566
147,1996,5,PVSP (PLEASANT VALLEY SP),4546,0,4546,2208,205.9,4008
148,1996,5,PBSP (PELICAN BAY SP),3548,0,3548,2280,155.6,3615
149,1996,5,NKSP (NORTH KERN SP),4474,1,4475,2492,179.6,4472
150,1996,5,MCSP (MULE CREEK SP),3504,0,3504,1700,206.1,3562
151,1996,5,ISP (IRONWOOD SP),4217,0,4217,2200,191.7,4000
152,1996,5,HDSP (HIGH DESERT SP),4011,1,4012,1812,221.4,2414
153,1996,5,FOL (FOLSOM SP) (MALE),3775,1,3776,2064,182.9,3710
154,1996,5,DVI (DEUEL VOCATIONAL INSTITUTION),3585,29,3614,1787,202.2,3396
155,1996,5,CTF (CORRECTIONAL TRAINING FAC),6662,2,6664,2981,223.5,6341
156,1996,5,CVSP (CHUCKAWALLA VALLEY SP),3506,0,3506,1738,201.7,3579
157,1996,5,"SOL (CA SP, SOLANO)",4770,0,4770,2110,226.1,4777
158,1996,5,SQ (SAN QUENTIN SP),5491,33,5524,3127,176.7,5565
159,1996,5,"SAC (CA SP, SACRAMENTO)",3128,0,3128,1728,181.0,3204
160,1996,5,"LAC (CA SP, LOS ANGELES COUNTY)",4012,0,4012,2200,182.4,4000
161,1996,5,"COR (CA SP, CORCORAN)",4847,0,4847,2916,166.2,4978
162,1996,5,CEN (CENTINELA SP),4372,0,4372,2208,198.0,4248
163,1996,5,CAL (CALIPATRIA SP),3885,0,3885,2208,176.0,4008
164,1996,5,"CRC (CAL REHAB CTR, MEN)",1740,2032,3772,1814,207.9,3906
165,1996,5,CMC (CA MEN'S COLONY),6385,0,6385,3884,164.4,6474
166,1996,5,CMF (CA MEDICAL FAC),3148,0,3148,2335,134.8,3339
167,1996,5,CIM (CA INSTITUTION FOR MEN),6063,78,6141,2778,221.1,5971
168,1996,5,CCI (CA CORRECTIONAL INSTITUTION),5837,0,5837,2757,211.7,5767
169,1996,5,CCC (CA CORRECTIONAL CENTER),5785,1,5786,3682,157.1,5637
170,1996,5,ASP (AVENAL SP),5734,0,5734,2320,247.2,5793
171,1996,6,VSP (VALLEY SP),2549,12,2561,1980,129.3,2592
172,1996,6,SCC (SIERRA CONSERVATION CENTER),331,0,331,320,103.4,320
173,1996,6,NCWF (NO CAL WOMEN'S FACIL),752,5,757,400,189.3,760
174,1996,6,CCWF (CENTRAL CA WOMEN'S FAC),3100,6,3106,2004,155.0,2914
175,1996,6,"CRC (CAL REHAB CTR, WOMEN)",195,687,882,500,176.4,842
176,1996,6,CIW (CA INSTITUTION FOR WOMEN),1634,26,1660,1026,161.8,1646
177,1996,6,WSP (WASCO SP),4479,44,4523,2484,182.1,4484
178,1996,6,SCC (SIERRA CONSERVATION CENTER),5993,0,5993,3606,166.2,5884
179,1996,6,SVSP (SALINAS VALLEY SP),1260,0,1260,700,180.0,700
180,1996,6,RJD (RJ DONOVAN CORRECTIONAL FAC),4574,0,4574,2200,207.9,4566
181,1996,6,PVSP (PLEASANT VALLEY SP),4414,0,4414,2208,199.9,4488
182,1996,6,PBSP (PELICAN BAY SP),3514,0,3514,2280,154.1,3711
183,1996,6,NKSP (NORTH KERN SP),4516,1,4517,2492,181.3,4472
184,1996,6,MCSP (MULE CREEK SP),3631,0,3631,1700,213.6,3562
185,1996,6,ISP (IRONWOOD SP),4240,0,4240,2200,192.7,4360
186,1996,6,HDSP (HIGH DESERT SP),4103,1,4104,2224,184.5,4046
187,1996,6,FOL (FOLSOM SP) (MALE),3834,1,3835,2064,185.8,3710
188,1996,6,DVI (DEUEL VOCATIONAL INSTITUTION),3344,38,3382,1787,189.3,3706
189,1996,6,CTF (CORRECTIONAL TRAINING FAC),6482,1,6483,2981,217.5,6461
190,1996,6,CVSP (CHUCKAWALLA VALLEY SP),3519,0,3519,1738,202.5,3579
191,1996,6,"SOL (CA SP, SOLANO)",4646,0,4646,2110,220.2,4777
192,1996,6,SQ (SAN QUENTIN SP),5490,39,5529,3283,168.4,5721
193,1996,6,"SAC (CA SP, SACRAMENTO)",3131,0,3131,1728,181.2,3204
194,1996,6,"LAC (CA SP, LOS ANGELES COUNTY)",4162,0,4162,2200,189.2,4120
195,1996,6,"COR (CA SP, CORCORAN)",4642,0,4642,2916,159.2,5084
196,1996,6,CEN (CENTINELA SP),4387,0,4387,2208,198.7,4368
197,1996,6,CAL (CALIPATRIA SP),3835,0,3835,2208,173.7,4108
198,1996,6,"CRC (CAL REHAB CTR, MEN)",2062,1899,3961,1814,218.4,3906
199,1996,6,CMC (CA MEN'S COLONY),6301,0,6301,3884,162.2,6474
200,1996,6,CMF (CA MEDICAL FAC),3175,0,3175,2315,137.1,3377
201,1996,6,CIM (CA INSTITUTION FOR MEN),5831,44,5875,2778,211.5,5971
202,1996,6,CCI (CA CORRECTIONAL INSTITUTION),5918,0,5918,2781,212.8,5942
203,1996,6,CCC (CA CORRECTIONAL CENTER),5919,1,5920,3682,160.8,5637
204,1996,6,ASP (AVENAL SP),5736,0,5736,2320,247.2,5793
205,1996,7,VSP (VALLEY SP),2789,31,2820,1980,142.4,2592
206,1996,7,SCC (SIERRA CONSERVATION CENTER),329,0,329,320,102.8,320
207,1996,7,NCWF (NO CAL WOMEN'S FACIL),775,5,780,400,195.0,760
208,1996,7,CCWF (CENTRAL CA WOMEN'S FAC),2897,13,2910,2004,145.2,2914
209,1996,7,"CRC (CAL REHAB CTR, WOMEN)",211,651,862,500,172.4,842
210,1996,7,CIW (CA INSTITUTION FOR WOMEN),1709,23,1732,1026,168.8,1646
211,1996,7,WSP (WASCO SP),4470,28,4498,2484,181.1,4484
212,1996,7,SCC (SIERRA CONSERVATION CENTER),5907,0,5907,3606,163.8,5884
213,1996,7,SVSP (SALINAS VALLEY SP),1780,0,1780,700,254.3,700
214,1996,7,RJD (RJ DONOVAN CORRECTIONAL FAC),4526,0,4526,2200,205.7,4566
215,1996,7,PVSP (PLEASANT VALLEY SP),4515,0,4515,2208,204.5,4488
216,1996,7,PBSP (PELICAN BAY SP),3463,0,3463,2280,151.9,3711
217,1996,7,NKSP (NORTH KERN SP),4529,1,4530,2492,181.8,4472
218,1996,7,MCSP (MULE CREEK SP),3618,0,3618,1700,212.8,3562
219,1996,7,ISP (IRONWOOD SP),4315,0,4315,2200,196.1,4360
220,1996,7,HDSP (HIGH DESERT SP),4041,2,4043,2224,181.8,4046
221,1996,7,FOL (FOLSOM SP) (MALE),3842,1,3843,2064,186.2,3710
222,1996,7,DVI (DEUEL VOCATIONAL INSTITUTION),3499,30,3529,1787,197.5,3706
223,1996,7,CTF (CORRECTIONAL TRAINING FAC),6302,2,6304,2981,211.5,6461
224,1996,7,CVSP (CHUCKAWALLA VALLEY SP),3472,0,3472,1738,199.8,3579
225,1996,7,"SOL (CA SP, SOLANO)",4757,0,4757,2110,225.5,4777
226,1996,7,SQ (SAN QUENTIN SP),5703,28,5731,3283,174.6,5721
227,1996,7,"SAC (CA SP, SACRAMENTO)",3225,2,3227,1728,186.7,3204
228,1996,7,"LAC (CA SP, LOS ANGELES COUNTY)",4134,0,4134,2200,187.9,4120
229,1996,7,"COR (CA SP, CORCORAN)",4672,0,4672,2916,160.2,5084
230,1996,7,CEN (CENTINELA SP),4497,0,4497,2208,203.7,4368
231,1996,7,CAL (CALIPATRIA SP),3773,0,3773,2208,170.9,4108
232,1996,7,"CRC (CAL REHAB CTR, MEN)",2171,1797,3968,1814,218.7,3906
233,1996,7,CMC (CA MEN'S COLONY),6254,0,6254,3884,161.0,6474
234,1996,7,CMF (CA MEDICAL FAC),3158,0,3158,2315,136.4,3377
235,1996,7,CIM (CA INSTITUTION FOR MEN),5875,47,5922,2778,213.2,5971
236,1996,7,CCI (CA CORRECTIONAL INSTITUTION),5959,0,5959,2781,214.3,5942
237,1996,7,CCC (CA CORRECTIONAL CENTER),5952,1,5953,3682,161.7,5637
238,1996,7,ASP (AVENAL SP),5733,0,5733,2320,247.1,5793
239,1996,8,VSP (VALLEY SP),2750,8,2758,1980,139.3,2592
240,1996,8,SCC (SIERRA CONSERVATION CENTER),334,0,334,320,104.4,320
241,1996,8,NCWF (NO CAL WOMEN'S FACIL),747,9,756,400,189.0,760
242,1996,8,CCWF (CENTRAL CA WOMEN'S FAC),3113,5,3118,2004,155.6,2914
243,1996,8,"CRC (CAL REHAB CTR, WOMEN)",224,670,894,500,178.8,842
244,1996,8,CIW (CA INSTITUTION FOR WOMEN),1636,23,1659,1026,161.7,1646
245,1996,8,WSP (WASCO SP),4857,50,4907,2484,197.5,4484
246,1996,8,SCC (SIERRA CONSERVATION CENTER),5883,0,5883,3606,163.1,5884
247,1996,8,SVSP (SALINAS VALLEY SP),2221,0,2221,700,317.3,700
248,1996,8,RJD (RJ DONOVAN CORRECTIONAL FAC),4619,0,4619,2200,210.0,4566
249,1996,8,PVSP (PLEASANT VALLEY SP),4506,0,4506,2208,204.1,4488
250,1996,8,PBSP (PELICAN BAY SP),3497,0,3497,2280,153.4,3711
251,1996,8,NKSP (NORTH KERN SP),4581,1,4582,2492,183.9,4472
252,1996,8,MCSP (MULE CREEK SP),3595,0,3595,1700,211.5,3562
253,1996,8,ISP (IRONWOOD SP),4251,0,4251,2200,193.2,4360
254,1996,8,HDSP (HIGH DESERT SP),4067,2,4069,2224,183.0,4046
255,1996,8,FOL (FOLSOM SP) (MALE),3883,0,3883,2064,188.1,3710
256,1996,8,DVI (DEUEL VOCATIONAL INSTITUTION),3525,28,3553,1787,198.8,3706
257,1996,8,CTF (CORRECTIONAL TRAINING FAC),5949,2,5951,2981,199.6,6461
258,1996,8,CVSP (CHUCKAWALLA VALLEY SP),3672,0,3672,1738,211.3,3579
259,1996,8,"SOL (CA SP, SOLANO)",4831,0,4831,2110,229.0,4777
260,1996,8,SQ (SAN QUENTIN SP),5675,47,5722,3283,174.3,5721
261,1996,8,"SAC (CA SP, SACRAMENTO)",3191,0,3191,1728,184.7,3204
262,1996,8,"LAC (CA SP, LOS ANGELES COUNTY)",4145,0,4145,2200,188.4,4120
263,1996,8,"COR (CA SP, CORCORAN)",4763,0,4763,2916,163.3,5084
264,1996,8,CEN (CENTINELA SP),4381,0,4381,2208,198.4,4368
265,1996,8,CAL (CALIPATRIA SP),4129,0,4129,2208,187.0,4108
266,1996,8,"CRC (CAL REHAB CTR, MEN)",2263,1743,4006,1814,220.8,3906
267,1996,8,CMC (CA MEN'S COLONY),6364,0,6364,3884,163.9,6474
268,1996,8,CMF (CA MEDICAL FAC),3181,1,3182,2315,137.5,3377
269,1996,8,CIM (CA INSTITUTION FOR MEN),5859,35,5894,2778,212.2,5971
270,1996,8,CCI (CA CORRECTIONAL INSTITUTION),5906,0,5906,2781,212.4,5942
271,1996,8,CCC (CA CORRECTIONAL CENTER),5840,0,5840,3682,158.6,5637
272,1996,8,ASP (AVENAL SP),5760,0,5760,2320,248.3,5793
273,1996,9,VSP (VALLEY SP),2693,17,2710,1980,136.9,2592
274,1996,9,SCC (SIERRA CONSERVATION CENTER),328,0,328,320,102.5,320
275,1996,9,NCWF (NO CAL WOMEN'S FACIL),751,3,754,400,188.5,760
276,1996,9,CCWF (CENTRAL CA WOMEN'S FAC),3212,12,3224,2004,160.9,2914
277,1996,9,"CRC (CAL REHAB CTR, WOMEN)",202,650,852,500,170.4,842
278,1996,9,CIW (CA INSTITUTION FOR WOMEN),1621,27,1648,1026,160.6,1646
279,1996,9,WSP (WASCO SP),5012,33,5045,2484,203.1,4484
280,1996,9,SCC (SIERRA CONSERVATION CENTER),5933,0,5933,3606,164.5,5884
281,1996,9,SVSP (SALINAS VALLEY SP),2753,0,2753,700,393.3,700
282,1996,9,RJD (RJ DONOVAN CORRECTIONAL FAC),4571,0,4571,2200,207.8,4566
283,1996,9,PVSP (PLEASANT VALLEY SP),4428,0,4428,2208,200.5,4488
284,1996,9,PBSP (PELICAN BAY SP),3592,0,3592,2280,157.5,3711
285,1996,9,NKSP (NORTH KERN SP),4505,1,4506,2492,180.8,4472
286,1996,9,MCSP (MULE CREEK SP),3578,0,3578,1700,210.5,3562
287,1996,9,ISP (IRONWOOD SP),4224,0,4224,2200,192.0,4360
288,1996,9,HDSP (HIGH DESERT SP),3978,2,3980,2224,179.0,4046
289,1996,9,FOL (FOLSOM SP) (MALE),3830,0,3830,2064,185.6,3710
290,1996,9,DVI (DEUEL VOCATIONAL INSTITUTION),3487,41,3528,1787,197.4,3706
291,1996,9,CTF (CORRECTIONAL TRAINING FAC),6446,2,6448,2981,216.3,6461
292,1996,9,CVSP (CHUCKAWALLA VALLEY SP),3609,0,3609,1738,207.7,3579
293,1996,9,"SOL (CA SP, SOLANO)",4758,0,4758,2110,225.5,4777
294,1996,9,SQ (SAN QUENTIN SP),5789,32,5821,3283,177.3,5721
295,1996,9,"SAC (CA SP, SACRAMENTO)",3128,1,3129,1728,181.1,3204
296,1996,9,"LAC (CA SP, LOS ANGELES COUNTY)",4067,0,4067,2200,184.9,4120
297,1996,9,"COR (CA SP, CORCORAN)",4731,0,4731,2916,162.2,5084
298,1996,9,CEN (CENTINELA SP),4431,0,4431,2208,200.7,4368
299,1996,9,CAL (CALIPATRIA SP),3887,0,3887,2208,176.0,4108
300,1996,9,"CRC (CAL REHAB CTR, MEN)",2310,1751,4061,1814,223.9,3906
301,1996,9,CMC (CA MEN'S COLONY),6440,0,6440,3884,165.8,6474
302,1996,9,CMF (CA MEDICAL FAC),3117,0,3117,2315,134.6,3377
303,1996,9,CIM (CA INSTITUTION FOR MEN),5823,38,5861,2778,211.0,5971
304,1996,9,CCI (CA CORRECTIONAL INSTITUTION),5855,0,5855,2781,210.5,5942
305,1996,9,CCC (CA CORRECTIONAL CENTER),5921,0,5921,3682,160.8,5637
306,1996,9,ASP (AVENAL SP),5723,0,5723,2320,246.7,5793
307,1996,10,VSP (VALLEY SP),2751,6,2757,1980,139.2,2592
308,1996,10,SCC (SIERRA CONSERVATION CENTER),333,0,333,320,104.1,320
309,1996,10,NCWF (NO CAL WOMEN'S FACIL),740,1,741,400,185.3,760
310,1996,10,CCWF (CENTRAL CA WOMEN'S FAC),3333,6,3339,2004,166.6,2914
311,1996,10,"CRC (CAL REHAB CTR, WOMEN)",178,664,842,500,168.4,842
312,1996,10,CIW (CA INSTITUTION FOR WOMEN),1672,30,1702,1026,165.9,1646
313,1996,10,WSP (WASCO SP),4770,43,4813,2484,193.8,4484
314,1996,10,SCC (SIERRA CONSERVATION CENTER),6030,0,6030,3606,167.2,5884
315,1996,10,SVSP (SALINAS VALLEY SP),3107,0,3107,700,443.9,700
316,1996,10,RJD (RJ DONOVAN CORRECTIONAL FAC),4651,0,4651,2200,211.4,4566
317,1996,10,PVSP (PLEASANT VALLEY SP),4567,0,4567,2208,206.8,4488
318,1996,10,PBSP (PELICAN BAY SP),3712,0,3712,2280,162.8,3711
319,1996,10,NKSP (NORTH KERN SP),4500,1,4501,2492,180.6,4472
320,1996,10,MCSP (MULE CREEK SP),3584,0,3584,1700,210.8,3562
